MissionID,Algorithm,DroneCount,Deadline,IgnoredRegions,TotalScore,Completeness,TimeEfficiency,CoverageScore,RedundantPenalty,LatestDetTime,AvgDetTime,MedDetTime,FiresDetected,TotalFires,TotalDetections,AreaCoverage
1,TMSTC_STAR,6,600.0,0,85.6,50.0,31.84,9.27,-5.51,372.89,147.25,157.18,40,40,360,92.71
2,TMSTC_STAR,6,600.0,0,88.69,50.0,34.59,9.43,-5.34,336.39,131.52,104.8,40,40,345,94.35
3,TMSTC_STAR,6,600.0,0,86.29,50.0,32.53,9.86,-6.09,430.54,123.55,103.71,40,40,416,98.59
4,TMSTC_STAR,6,600.0,0,87.63,50.0,33.99,9.74,-6.1,378.86,124.08,95.94,40,40,417,97.43
5,TMSTC_STAR,6,600.0,0,82.98,50.0,29.21,9.88,-6.11,490.29,156.62,132.29,40,40,418,98.82
6,TMSTC_STAR,6,600.0,0,75.24,48.75,24.17,9.56,-7.24,600.0,214.63,147.15,39,40,541,95.6
7,TMSTC_STAR,6,600.0,0,85.85,50.0,31.66,9.8,-5.61,453.33,132.43,103.59,40,40,369,97.97
8,TMSTC_STAR,6,600.0,0,86.56,50.0,32.05,9.73,-5.23,367.31,156.8,141.54,40,40,336,97.32
9,VORONOI_SEARCH,6,600.0,0,87.09,50.0,33.53,9.79,-6.23,446.9,100.32,78.22,40,40,430,97.94
10,TMSTC_STAR,6,600.0,0,85.32,50.0,30.87,9.95,-5.51,425.59,156.37,130.93,40,40,360,99.54
11,TMSTC_STAR,6,600.0,0,78.04,48.75,26.35,9.92,-6.97,600.0,169.79,119.76,39,40,505,99.17
12,VORONOI_SEARCH,6,600.0,0,85.94,50.0,32.24,9.92,-6.23,463.61,120.17,86.56,40,40,430,99.23
13,VORONOI_SEARCH,6,600.0,0,78.22,47.5,27.63,9.96,-6.87,600.0,143.51,103.31,38,40,479,99.58
14,VORONOI_SEARCH,6,600.0,0,89.13,50.0,35.56,9.67,-6.1,409.76,83.97,55.94,40,40,417,96.7
15,VORONOI_SEARCH,6,600.0,0,87.88,50.0,33.33,9.72,-5.17,369.04,136.61,115.67,40,40,331,97.18
16,VORONOI_SEARCH,6,600.0,0,80.46,48.75,27.99,9.99,-6.26,600.0,135.61,99.74,39,40,423,99.9
17,VORONOI_SEARCH,6,600.0,0,88.15,50.0,33.74,9.82,-5.4,359.23,129.59,118.35,40,40,351,98.17
18,VORONOI_SEARCH,6,600.0,0,80.94,48.75,29.26,9.78,-6.85,600.0,116.48,74.3,39,40,489,97.8
19,VORONOI_SEARCH,6,600.0,0,83.85,50.0,30.61,9.73,-6.48,477.68,137.1,115.17,40,40,458,97.26
